,original data,,,,reproduced data,,,
,50-dim,,50-dim,,100-dim,,100-dim,
model,ARI,,NMI,,ARI,,NMI,
TF-IDF,0.4, +/- 0.1,5.6, +/- 0.3,0.5, +/- 0.1,3.6, +/- 0.2
LSI,0.5, +/- 0.2,5.8, +/- 0.3,0.6, +/- 0.1,3.8, +/- 0.2
LDA,20.8, +/- 1.1,40.2, +/- 0.8,-,-,-,-
cBow,31.5, +/- 0.3,51.2, +/- 0.3,24.4, +/- 0.7,43.4, +/- 0.7
PV-DBOW,53.3, +/- 1.3,66.1, +/- 0.6,45.9, +/- 1.3,63.6, +/- 0.7
PV-DM,30.1, +/- 0.9,53.3, +/- 0.5,9.4, +/- 1.5,37.9, +/- 1.1
FV-GMM,1, +/- 0.1,9.8, +/- 1.3,0.78, +/- 0.01,3.9, +/- 0.1
FV-moVMF,1.6, +/- 0.2,14.9, +/- 1.6,-,-,-,-
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
